"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libglib2","2.72.3","LGPL-2.1+","COPYING","glib-2.72.3.tar.xz","https://download.gnome.org/sources/glib/2.72","libffi [MIT] libzlib [Zlib] pcre [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"libffi","3.4.4","MIT","LICENSE","libffi-3.4.4.tar.gz","https://github.com/libffi/libffi/releases/download/v3.4.4","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"pcre","8.45","BSD-3-Clause","LICENCE","pcre-8.45.tar.bz2","http://downloads.sourceforge.net/project/pcre/pcre/8.45","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"bluez5_utils","5.65","GPL-2.0+, LGPL-2.1+","COPYING COPYING.LIB","bluez-5.65.tar.xz","https://cdn.kernel.org/pub/linux/bluetooth","brotli [MIT] dbus [AFL-2.1 or GPL-2.0+ (library, tools), GPL-2.0+ (tools)] expat [MIT] iptables [GPL-2.0] kmod [LGPL-2.1+ (library) , GPL-2.0+ (tools)] libcap [GPL-2.0 or BSD-3-Clause] libcurl [curl] libffi [MIT] libglib2 [LGPL-2.1+] libopenssl [OpenSSL or SSLeay] libzlib [Zlib] lz4 [BSD-2-Clause (library), GPL-2.0+ (programs)] pcre [BSD-3-Clause] pcre2 [BSD-3-Clause] skeleton-init-common [unknown] skeleton-init-systemd [unknown] systemd [LGPL-2.1+, GPL-2.0+ (udev), Public Domain (few source files, see LICENSES/README.md), BSD-2-Clause (eBPF instruction mini library), BSD-3-Clause (tools/chromiumos), CC0-1.0 (few source files, see LICENSES/README.md), GPL-2.0 with Linux-syscall-note (linux kernel headers), MIT-0 (few source files, see LICENSES/README.md), MIT (few source files, see LICENSES/README.md), OFL-1.1 (Heebo fonts)] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"ca-certificates","20230311","GPL-2.0+ (script), MPL-2.0 (data)","debian/copyright","ca-certificates_20230311.tar.xz","https://snapshot.debian.org/archive/debian/20230317T205011Z/pool/main/c/ca-certificates","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"fbv","1.0b","GPL-2.0","COPYING","fbv-1.0b.tar.gz","http://s-tech.elsat.net.pl/fbv","giflib [MIT] jpeg-turbo [IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)] libpng [Libpng-2.0] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"giflib","5.2.1","MIT","COPYING","giflib-5.2.1.tar.gz","http://downloads.sourceforge.net/project/giflib","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"jpeg-turbo","2.1.4","IJG (libjpeg), BSD-3-Clause (TurboJPEG), Zlib (SIMD)","LICENSE.md README.ijg","libjpeg-turbo-2.1.4.tar.gz","https://downloads.sourceforge.net/project/libjpeg-turbo/2.1.4","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"libpng","1.6.39","Libpng-2.0","LICENSE","libpng-1.6.39.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.39","libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"fontconfig","2.13.1","fontconfig license","COPYING","fontconfig-2.13.1.tar.bz2","http://fontconfig.org/release","brotli [MIT] expat [MIT] freetype [Dual FTL/GPL-2.0+] libpng [Libpng-2.0] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown] util-linux-libs [LGPL-2.1+ (libblkid, libfdisk, libmount), BSD-3-Clause (libuuid)]"
"freetype","2.12.1","Dual FTL/GPL-2.0+","LICENSE.TXT docs/FTL.TXT docs/GPLv2.TXT","freetype-2.12.1.tar.xz","http://download.savannah.gnu.org/releases/freetype","brotli [MIT] libpng [Libpng-2.0] libzlib [Zlib] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"googlefontdirectory","94dff3eaa9301b6640cccc63c56d6ff33d82882c","OFL-1.1","ofl/poppins/OFL.txt ofl/spacemono/OFL.txt","googlefontdirectory-94dff3eaa9301b6640cccc63c56d6ff33d82882c.tar.gz","https://github.com/google/fonts/archive/94dff3eaa9301b6640cccc63c56d6ff33d82882c","skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
"iw","5.19","ISC","COPYING","iw-5.19.tar.xz","https://cdn.kernel.org/pub/software/network/iw","libnl [LGPL-2.1+] skeleton-init-common [unknown] skeleton-init-systemd [unknown] toolchain-external-arm-aarch64 [unknown]"
